,EDITION,Year,Market,Newspaper,MarketAndNewspaper,TotalCirculation,Owner
32,Thursday,2015,alliston,alliston herald,alliston herald,22403.0,metroland media group ltd.
39,Tuesday,2015,alliston,alliston herald,alliston herald,,metroland media group ltd.
33,Thursday,2016,alliston,alliston herald,alliston herald,22860.0,metroland media group ltd.
40,Tuesday,2016,alliston,alliston herald,alliston herald,,metroland media group ltd.
34,Thursday,2017,alliston,alliston herald,alliston herald,23199.0,metroland media group ltd.
35,Thursday,2018,alliston,alliston herald,alliston herald,23229.0,metroland media group ltd.
36,Thursday,2019,alliston,alliston herald,alliston herald,22879.0,metroland media group ltd.
1687,Wednesday,2013,amherstburg,river town times,amherstburg river town times,8985.0,river town times
1688,Wednesday,2014,amherstburg,river town times,amherstburg river town times,9177.0,river town times
1689,Wednesday,2015,amherstburg,river town times,amherstburg river town times,9185.0,river town times
1690,Wednesday,2016,amherstburg,river town times,amherstburg river town times,9133.0,river town times
1691,Wednesday,2017,amherstburg,river town times,amherstburg river town times,9280.0,river town times
1692,Wednesday,2018,amherstburg,river town times,amherstburg river town times,9442.0,southpoint publishing inc.
1693,Wednesday,2019,amherstburg,river town times,amherstburg river town times,9478.0,southpoint publishing inc.
48,Thursday,2013,ancaster,ancaster news,ancaster news,12823.0,metroland media group ltd.
49,Thursday,2014,ancaster,ancaster news,ancaster news,12927.0,metroland media group ltd.
50,Thursday,2015,ancaster,ancaster news,ancaster news,12725.0,metroland media group ltd.
51,Thursday,2016,ancaster,ancaster news,ancaster news,12710.0,metroland media group ltd.
52,Thursday,2017,ancaster,ancaster news,ancaster news,13041.0,metroland media group ltd.
53,Thursday,2018,ancaster,ancaster news,ancaster news,13037.0,metroland media group ltd.
54,Thursday,2019,ancaster,ancaster news,ancaster news,13111.0,metroland media group ltd.
62,Thursday,2013,arnprior,arnprior chronicle guide,arnprior chronicle guide,7668.0,metroland media group ltd.
63,Thursday,2014,arnprior,arnprior chronicle guide,arnprior chronicle guide,7892.0,metroland media group ltd.
64,Thursday,2015,arnprior,arnprior chronicle guide,arnprior chronicle guide,7941.0,metroland media group ltd.
65,Thursday,2016,arnprior,arnprior chronicle guide,arnprior chronicle guide,8332.0,metroland media group ltd.
66,Thursday,2017,arnprior,arnprior chronicle guide,arnprior chronicle guide,8114.0,metroland media group ltd.
67,Thursday,2018,arnprior,arnprior chronicle guide,arnprior chronicle guide,8019.0,metroland media group ltd.
68,Thursday,2019,arnprior,arnprior chronicle guide,arnprior chronicle guide,7085.0,metroland media group ltd.
69,Wednesday,2013,arthur,arthur enterprise news,arthur enterprise news,522.0,metroland media group ltd.
70,Wednesday,2014,arthur,arthur enterprise news,arthur enterprise news,420.0,metroland media group ltd.
71,Wednesday,2015,arthur,arthur enterprise news,arthur enterprise news,315.0,metroland media group ltd.
72,Wednesday,2016,arthur,arthur enterprise news,arthur enterprise news,235.0,metroland media group ltd.
73,Monday,2013,atikokan,atikokan progress,atikokan progress,1306.0,atikokan printing (1994) ltd.
74,Monday,2014,atikokan,atikokan progress,atikokan progress,1260.0,atikokan printing (1994) ltd.
75,Monday,2015,atikokan,atikokan progress,atikokan progress,1193.0,atikokan printing (1994) ltd.
76,Monday,2016,atikokan,atikokan progress,atikokan progress,1113.0,atikokan printing (1994) ltd.
77,Monday,2017,atikokan,atikokan progress,atikokan progress,1081.0,atikokan printing (1994) ltd.
78,Monday,2018,atikokan,atikokan progress,atikokan progress,1087.0,atikokan printing (1994) ltd.
79,Monday,2019,atikokan,atikokan progress,atikokan progress,1044.0,atikokan printing (1994) ltd.
108,Sunday,2016,aurora,banner,aurora banner,58366.0,metroland media group ltd.
109,Thursday,2016,aurora,banner,aurora banner,15946.0,metroland media group ltd.
2230,Tuesday,2013,aurora,the auroran,aurora the auroran,19575.0,london publishing corporation
2231,Wednesday,2014,aurora,the auroran,aurora the auroran,19169.0,london publishing corporation
2232,Wednesday,2015,aurora,the auroran,aurora the auroran,19427.0,london publishing corporation
2233,Wednesday,2016,aurora,the auroran,aurora the auroran,18745.0,london publishing corporation
2234,Wednesday,2017,aurora,the auroran,aurora the auroran,18184.0,london publishing corporation
2235,Wednesday,2018,aurora,the auroran,aurora the auroran,,london publishing corporation
2236,Wednesday,2019,aurora,the auroran,aurora the auroran,,london publishing corporation
80,Wednesday,2013,aylmer,aylmer express,aylmer express,3598.0,aylmer express ltd.
81,Wednesday,2014,aylmer,aylmer express,aylmer express,3421.0,aylmer express ltd.
82,Wednesday,2015,aylmer,aylmer express,aylmer express,,aylmer express ltd.
83,Wednesday,2016,aylmer,aylmer express,aylmer express,3314.0,aylmer express ltd.
84,Wednesday,2017,aylmer,aylmer express,aylmer express,3090.0,aylmer express ltd.
85,Wednesday,2018,aylmer,aylmer express,aylmer express,3026.0,aylmer express ltd.
86,Wednesday,2019,aylmer,aylmer express,aylmer express,2942.0,aylmer express ltd.
87,Wednesday,2013,ayr,ayr news,ayr news,3204.0,ayr news ltd.
88,Wednesday,2014,ayr,ayr news,ayr news,3150.0,ayr news ltd.
89,Wednesday,2015,ayr,ayr news,ayr news,3082.0,ayr news ltd.
90,Wednesday,2016,ayr,ayr news,ayr news,3052.0,ayr news ltd.
91,Wednesday,2017,ayr,ayr news,ayr news,2939.0,ayr news ltd.
92,Wednesday,2018,ayr,ayr news,ayr news,2785.0,ayr news ltd.
93,Wednesday,2019,ayr,ayr news,ayr news,2603.0,ayr news ltd.
94,Friday,2013,bancroft,bancroft this week,bancroft this week,7850.0,sun media corporation
95,Friday,2014,bancroft,bancroft this week,bancroft this week,7871.0,maple key media
96,Friday,2015,bancroft,bancroft this week,bancroft this week,9338.0,maple key media
97,Friday,2016,bancroft,bancroft this week,bancroft this week,9176.0,maple key media
98,Friday,2017,bancroft,bancroft this week,bancroft this week,8962.0,white pine media corp.
99,Friday,2018,bancroft,bancroft this week,bancroft this week,,white pine media corp.
100,Friday,2019,bancroft,bancroft this week,bancroft this week,,white pine media corp.
101,Thursday,2013,bancroft,bancroft times,bancroft times,3840.0,bancroft times
102,Thursday,2014,bancroft,bancroft times,bancroft times,3643.0,bancroft times
103,Thursday,2015,bancroft,bancroft times,bancroft times,3383.0,bancroft times
104,Thursday,2016,bancroft,bancroft times,bancroft times,3193.0,bancroft times
105,Thursday,2017,bancroft,bancroft times,bancroft times,2699.0,bancroft times
106,Thursday,2018,bancroft,bancroft times,bancroft times,2535.0,bancroft times
107,Thursday,2019,bancroft,bancroft times,bancroft times,1886.0,white pine media corp.
750,Monthly,2013,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,1200.0,the highlands courier
751,Monthly,2014,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,,the highlands courier
752,Monthly,2015,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,,the highlands courier
753,Monthly,2016,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,,the highlands courier
754,Monthly,2017,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,,the highlands courier
755,Monthly,2018,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,,the highlands courier
756,Monthly,2019,bancroft&wilberforce,highlands courier,bancroft wilberforce highlands courier,,the highlands courier
110,Friday,2013,barrhaven,barrhaven independent,barrhaven independent,17138.0,the morris group
791,Friday,2014,barrhaven,independent,barrhaven independent,17138.0,the morris group
792,Friday,2015,barrhaven,independent,barrhaven independent,,the morris group
793,Friday,2016,barrhaven,independent,barrhaven independent,,the morris group
794,Friday,2017,barrhaven,independent,barrhaven independent,8708.0,the morris group
795,Friday,2018,barrhaven,independent,barrhaven independent,,the morris group
111,Friday,2019,barrhaven,barrhaven independent,barrhaven independent,8708.0,the morris group
112,Thursday,2013,barrie,barrie advance,barrie advance,52243.0,metroland media group ltd.
119,Tuesday,2013,barrie,barrie advance,barrie advance,52243.0,metroland media group ltd.
113,Thursday,2014,barrie,barrie advance,barrie advance,52434.0,metroland media group ltd.
114,Thursday,2015,barrie,barrie advance,barrie advance,52317.0,metroland media group ltd.
115,Thursday,2016,barrie,barrie advance,barrie advance,52759.0,metroland media group ltd.
116,Thursday,2017,barrie,barrie advance,barrie advance,52713.0,metroland media group ltd.
117,Thursday,2018,barrie,barrie advance,barrie advance,52226.0,metroland media group ltd.
118,Thursday,2019,barrie,barrie advance,barrie advance,51125.0,metroland media group ltd.
2451,Wednesday,2013,barry's%20bay,the valley gazette,barry's bay the valley gazette,1420.0,the valley gazette
2452,Wednesday,2014,barry's%20bay,the valley gazette,barry's bay the valley gazette,1471.0,the valley gazette
2453,Wednesday,2015,barry's%20bay,the valley gazette,barry's bay the valley gazette,1814.0,the valley gazette
2454,Wednesday,2016,barry's%20bay,the valley gazette,barry's bay the valley gazette,1902.0,the valley gazette
2455,Wednesday,2017,barry's%20bay,the valley gazette,barry's bay the valley gazette,1813.0,the valley gazette
2456,Wednesday,2018,barry's%20bay,the valley gazette,barry's bay the valley gazette,1719.0,the valley gazette
2457,Wednesday,2019,barry's%20bay,the valley gazette,barry's bay the valley gazette,1479.0,the valley gazette
120,Wednesday,2013,barry's%20bay,barrys bay this week,barrys bay this week,1292.0,sun media corporation
128,Thursday,2019,east%20york,beach  east york neighbourhood voice,beach east york neighbourhood voice,45683.0,metroland media group ltd.
165,Thursday,2016,beeton,beeton new tecumseth times,beeton new tecumseth times,1273.0,london publishing corporation
166,Thursday,2017,beeton,beeton new tecumseth times,beeton new tecumseth times,1279.0,london publishing corporation
167,Thursday,2018,beeton&new%20tecumseth,beeton new tecumseth times,beeton new tecumseth times,1077.0,london publishing corporation
168,Thursday,2019,beeton&new%20tecumseth,beeton new tecumseth times,beeton new tecumseth times,935.0,london publishing corporation
968,Thursday,2013,belle%20river,lakeshore news,belle river lakeshore news,9416.0,postmedia network inc.
969,Thursday,2014,belle%20river,lakeshore news,belle river lakeshore news,9391.0,postmedia network inc.
970,Thursday,2015,belle%20river,lakeshore news,belle river lakeshore news,9383.0,postmedia network inc.
971,Thursday,2016,belle%20river,lakeshore news,belle river lakeshore news,9402.0,postmedia network inc.
972,Thursday,2017,belle%20river,lakeshore news,belle river lakeshore news,9409.0,postmedia network inc.
973,Thursday,2018,belle%20river,lakeshore news,belle river lakeshore news,8594.0,postmedia network inc.
974,Thursday,2019,belle%20river,lakeshore news,belle river lakeshore news,,postmedia network inc.
169,Thursday,2013,belleville,belleville news,belleville news,24279.0,metroland media group ltd.
170,Thursday,2014,belleville,belleville news,belleville news,22354.0,metroland media group ltd.
171,Thursday,2015,belleville,belleville news,belleville news,22872.0,metroland media group ltd.
172,Thursday,2016,belleville,belleville news,belleville news,22628.0,metroland media group ltd.
173,Thursday,2017,belleville,belleville news,belleville news,22513.0,metroland media group ltd.
2266,Thursday,2013,belleville&quinte,the community press,belleville quinte the community press,46122.0,sun media corporation
2267,Thursday,2014,belleville&quinte,the community press,belleville quinte the community press,45490.0,sun media corporation
2268,Thursday,2015,belleville&quinte,the community press,belleville quinte the community press,45939.0,sun media corporation
2269,Thursday,2016,belleville&quinte,the community press,belleville quinte the community press,46391.0,sun media corporation
2270,Thursday,2017,belleville&quinte,the community press,belleville quinte the community press,46476.0,postmedia network inc.
2271,Thursday,2018,belleville&quinte,the community press,belleville quinte the community press,,postmedia network inc.
2272,Thursday,2019,belleville&quinte,the community press,belleville quinte the community press,,postmedia network inc.
1280,Wednesday,2013,blenheim,newstribune,blenheim newstribune,2291.0,blenheim publishers
1281,Wednesday,2014,blenheim,newstribune,blenheim newstribune,2272.0,blenheim publishers
1282,Wednesday,2015,blenheim,newstribune,blenheim newstribune,2116.0,blenheim publishers
1283,Wednesday,2016,blenheim,newstribune,blenheim newstribune,1913.0,blenheim publishers
1284,Wednesday,2017,blenheim,newstribune,blenheim newstribune,,blenheim publishers
1285,Wednesday,2018,blenheim,newstribune,blenheim newstribune,,blenheim publishers
1286,Wednesday,2019,blenheim,newstribune,blenheim newstribune,1687.0,blenheim publishers
188,Wednesday,2013,blue%20mountains,blue mountains courierherald,blue mountains courierherald,547.0,metroland media group ltd.
371,Thursday,2013,blyth&brussels,citizen,blyth brussels citizen,1820.0,north huron publishing co. inc.
372,Thursday,2014,blyth&brussels,citizen,blyth brussels citizen,1798.0,north huron publishing co. inc.
373,Thursday,2015,blyth&brussels,citizen,blyth brussels citizen,1762.0,north huron publishing co. inc.
374,Thursday,2016,blyth&brussels,citizen,blyth brussels citizen,1756.0,north huron publishing co. inc.
375,Thursday,2017,blyth&brussels,citizen,blyth brussels citizen,1775.0,north huron publishing co. inc.
376,Thursday,2018,blyth&brussels,citizen,blyth brussels citizen,1792.0,north huron publishing co. inc.
377,Thursday,2019,blyth&brussels,citizen,blyth brussels citizen,1907.0,north huron publishing co. inc.
2321,Thursday,2018,bobcaygeon,the kawartha promoter,bobcaygeon the kawartha promoter,40000.0,the kawartha promoter
2322,Thursday,2019,bobcaygeon,the kawartha promoter,bobcaygeon the kawartha promoter,,the kawartha promoter
194,Wednesday,2013,bracebridge,bracebridge examiner,bracebridge examiner,2780.0,metroland media group ltd.
195,Wednesday,2014,bracebridge,bracebridge examiner,bracebridge examiner,9435.0,metroland media group ltd.
189,Thursday,2015,bracebridge,bracebridge examiner,bracebridge examiner,8609.0,metroland media group ltd.
190,Thursday,2016,bracebridge,bracebridge examiner,bracebridge examiner,8584.0,metroland media group ltd.
191,Thursday,2017,bracebridge,bracebridge examiner,bracebridge examiner,8677.0,metroland media group ltd.
192,Thursday,2018,bracebridge,bracebridge examiner,bracebridge examiner,8323.0,metroland media group ltd.
193,Thursday,2019,bracebridge,bracebridge examiner,bracebridge examiner,7997.0,metroland media group ltd.
1166,Thursday,2013,bracebridge,muskoka sun,bracebridge muskoka sun,15000.0,metroland media group ltd.
1167,Thursday,2014,bracebridge,muskoka sun,bracebridge muskoka sun,,metroland media group ltd.
196,Thursday,2013,bradford,bradford west gwillimbury times,bradford west gwillimbury times,13042.0,sun media corporation
197,Thursday,2014,bradford,bradford west gwillimbury times,bradford west gwillimbury times,9507.0,sun media corporation
198,Thursday,2015,bradford,bradford west gwillimbury times,bradford west gwillimbury times,10224.0,sun media corporation
199,Thursday,2016,bradford,bradford west gwillimbury times,bradford west gwillimbury times,,sun media corporation
200,Thursday,2017,bradford,bradford west gwillimbury times,bradford west gwillimbury times,,postmedia network inc.
201,Thursday,2013,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,17967.0,metroland media group ltd.
202,Thursday,2014,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10083.0,metroland media group ltd.
203,Thursday,2015,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10151.0,metroland media group ltd.
204,Thursday,2016,bradford,bradford west gwillimbury topic,bradford west gwillimbury topic,10538.0,metroland media group ltd.
205,Thursday,2017,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,,metroland media group ltd.
206,Thursday,2018,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,,metroland media group ltd.
207,Thursday,2019,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10436.0,metroland media group ltd.
208,Friday,2013,brampton,brampton guardian,brampton guardian,111956.0,metroland media group ltd.
214,Thursday,2013,brampton,brampton guardian,brampton guardian,121850.0,metroland media group ltd.
221,Wednesday,2013,brampton,brampton guardian,brampton guardian,113172.0,metroland media group ltd.
209,Friday,2014,brampton,brampton guardian,brampton guardian,111746.0,metroland media group ltd.
215,Thursday,2014,brampton,brampton guardian,brampton guardian,126420.0,metroland media group ltd.
222,Wednesday,2014,brampton,brampton guardian,brampton guardian,114175.0,metroland media group ltd.
210,Friday,2015,brampton,brampton guardian,brampton guardian,116456.0,metroland media group ltd.
216,Thursday,2015,brampton,brampton guardian,brampton guardian,129850.0,metroland media group ltd.
223,Wednesday,2015,brampton,brampton guardian,brampton guardian,116288.0,metroland media group ltd.
211,Friday,2016,brampton,brampton guardian,brampton guardian,116447.0,metroland media group ltd.
217,Thursday,2016,brampton,brampton guardian,brampton guardian,129958.0,metroland media group ltd.
224,Wednesday,2016,brampton,brampton guardian,brampton guardian,109469.0,metroland media group ltd.
212,Friday,2017,brampton,brampton guardian,brampton guardian,,metroland media group ltd.
218,Thursday,2017,brampton,brampton guardian,brampton guardian,,metroland media group ltd.
225,Wednesday,2017,brampton,brampton guardian,brampton guardian,,metroland media group ltd.
213,Friday,2018,brampton,brampton guardian,brampton guardian,,metroland media group ltd.
219,Thursday,2018,brampton,brampton guardian,brampton guardian,,metroland media group ltd.
226,Wednesday,2018,brampton,brampton guardian,brampton guardian,,metroland media group ltd.
220,Thursday,2019,brampton,brampton guardian,brampton guardian,137219.0,metroland media group ltd.
227,Thursday,2013,brantford,brant news,brantford brant news,48220.0,metroland media group ltd.
228,Thursday,2014,brantford,brant news,brantford brant news,48551.0,metroland media group ltd.
229,Thursday,2015,brantford,brant news,brantford brant news,48911.0,metroland media group ltd.
230,Thursday,2016,brantford,brant news,brantford brant news,49012.0,metroland media group ltd.
231,Thursday,2017,brantford,brant news,brantford brant news,,metroland media group ltd.
232,Thursday,2015,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",47465.0,sun media corporation
233,Thursday,2016,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",,sun media corporation
234,Thursday,2017,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",,postmedia network inc.
235,Thursday,2018,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",,postmedia network inc.
236,Thursday,2019,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",,postmedia network inc.
1193,Wednesday,2013,brantford,new credit reporter,brantford new credit reporter,2500.0,tekawennake publications
1194,Wednesday,2014,brantford,new credit reporter,brantford new credit reporter,,tekawennake publications
237,Thursday,2013,brighton&warkworth&campbellford,brighton independent,brighton independent,16983.0,metroland media group ltd.
238,Thursday,2014,brighton&warkworth&campbellford,brighton independent,brighton independent,,metroland media group ltd.
239,Thursday,2015,brighton&warkworth&campbellford,brighton independent,brighton independent,7775.0,metroland media group ltd.
240,Thursday,2016,brighton&warkworth&campbellford,brighton independent,brighton independent,7876.0,metroland media group ltd.
241,Thursday,2017,brighton&warkworth&campbellford,brighton independent,brighton independent,7874.0,metroland media group ltd.
242,Thursday,2018,brighton&warkworth&campbellford,brighton independent,brighton independent,7872.0,metroland media group ltd.
243,Thursday,2019,brighton&warkworth&campbellford,brighton independent,brighton independent,9064.0,metroland media group ltd.
244,Thursday,2013,brock,brock citizen,brock citizen,5497.0,metroland media group ltd.
245,Thursday,2014,brock,brock citizen,brock citizen,5442.0,metroland media group ltd.
246,Thursday,2015,brock,brock citizen,brock citizen,,metroland media group ltd.
247,Thursday,2016,brock,brock citizen,brock citizen,,metroland media group ltd.
248,Thursday,2017,brock,brock citizen,brock citizen,,metroland media group ltd.
249,Thursday,2018,brock,brock citizen,brock citizen,,metroland media group ltd.
250,Thursday,2019,brock,brock citizen,brock citizen,,metroland media group ltd.
2125,Thursday,2013,brockville,st. lawrence news,brockville st. lawrence news,28135.0,metroland media group ltd.
2126,Thursday,2014,brockville,st. lawrence news,brockville st. lawrence news,29555.0,metroland media group ltd.
2127,Thursday,2015,brockville,st. lawrence news,brockville st. lawrence news,30529.0,metroland media group ltd.
2128,Thursday,2016,brockville,st. lawrence news,brockville st. lawrence news,30466.0,metroland media group ltd.
2129,Thursday,2017,brockville,st. lawrence news,brockville st. lawrence news,29397.0,metroland media group ltd.
258,Wednesday,2013,burford,burford times,burford times,2000.0,burford times
259,Wednesday,2014,burford,burford times,burford times,,burford times
260,Wednesday,2015,burford,burford times,burford times,,burford times
261,Wednesday,2016,burford,burford times,burford times,,burford times
262,Wednesday,2017,burford,burford times,burford times,,burford times
263,Wednesday,2018,burford,burford times,burford times,,burford times
264,Wednesday,2019,burford,burford times,burford times,,burford times
41,Thursday,2013,burks%20falls,almaguin news,burks falls almaguin news,2767.0,metroland media group ltd.
42,Thursday,2014,burks%20falls,almaguin news,burks falls almaguin news,2583.0,metroland media group ltd.
43,Thursday,2015,burks%20falls,almaguin news,burks falls almaguin news,2523.0,metroland media group ltd.
44,Thursday,2016,burks%20falls,almaguin news,burks falls almaguin news,2380.0,metroland media group ltd.
45,Thursday,2017,burks%20falls,almaguin news,burks falls almaguin news,2218.0,metroland media group ltd.
46,Thursday,2018,burks%20falls,almaguin news,burks falls almaguin news,1970.0,metroland media group ltd.
47,Thursday,2019,burks%20falls,almaguin news,burks falls almaguin news,1623.0,metroland media group ltd.
2250,Thursday,2013,burlington&hamilton,the bay observer,burlington hamilton the bay observer,28246.0,the bay observer
2251,Thursday,2014,burlington&hamilton,the bay observer,burlington hamilton the bay observer,,the bay observer
2252,Thursday,2015,burlington&hamilton,the bay observer,burlington hamilton the bay observer,30000.0,the bay observer
2253,Thursday,2016,burlington&hamilton,the bay observer,burlington hamilton the bay observer,,the bay observer
2254,Thursday,2017,burlington&hamilton,the bay observer,burlington hamilton the bay observer,,the bay observer
2255,Thursday,2018,burlington&hamilton,the bay observer,burlington hamilton the bay observer,,the bay observer
2256,Thursday,2019,burlington&hamilton,the bay observer,burlington hamilton the bay observer,,the bay observer
265,Friday,2013,burlington,burlington post,burlington post,49706.0,metroland media group ltd.
270,Thursday,2013,burlington,burlington post,burlington post,60980.0,metroland media group ltd.
277,Wednesday,2013,burlington,burlington post,burlington post,49570.0,metroland media group ltd.
266,Friday,2014,burlington,burlington post,burlington post,49583.0,metroland media group ltd.
271,Thursday,2014,burlington,burlington post,burlington post,60378.0,metroland media group ltd.
278,Wednesday,2014,burlington,burlington post,burlington post,38049.0,metroland media group ltd.
267,Friday,2015,burlington,burlington post,burlington post,49538.0,metroland media group ltd.
272,Thursday,2015,burlington,burlington post,burlington post,60274.0,metroland media group ltd.
279,Wednesday,2015,burlington,burlington post,burlington post,31884.0,metroland media group ltd.
268,Friday,2016,burlington,burlington post,burlington post,48790.0,metroland media group ltd.
273,Thursday,2016,burlington,burlington post,burlington post,59245.0,metroland media group ltd.
280,Wednesday,2016,burlington,burlington post,burlington post,,metroland media group ltd.
269,Friday,2017,burlington,burlington post,burlington post,,metroland media group ltd.
274,Thursday,2017,burlington,burlington post,burlington post,,metroland media group ltd.
281,Wednesday,2017,burlington,burlington post,burlington post,,metroland media group ltd.
275,Thursday,2018,burlington,burlington post,burlington post,,metroland media group ltd.
276,Thursday,2019,burlington,burlington post,burlington post,57093.0,metroland media group ltd.
282,Thursday,2013,caledon,caledon citizen,caledon citizen,15226.0,london publishing corporation
283,Thursday,2014,caledon,caledon citizen,caledon citizen,12240.0,london publishing corporation
284,Thursday,2015,caledon,caledon citizen,caledon citizen,18566.0,london publishing corporation
285,Thursday,2016,caledon,caledon citizen,caledon citizen,,london publishing corporation
286,Thursday,2017,caledon,caledon citizen,caledon citizen,,london publishing corporation
287,Thursday,2018,caledon,caledon citizen,caledon citizen,,london publishing corporation
288,Thursday,2019,caledon,caledon citizen,caledon citizen,,london publishing corporation
289,Thursday,2013,caledon,caledon enterprise,caledon enterprise,17008.0,metroland media group ltd.
296,Tuesday,2013,caledon,caledon enterprise,caledon enterprise,12955.0,metroland media group ltd.
290,Thursday,2014,caledon,caledon enterprise,caledon enterprise,17194.0,metroland media group ltd.
297,Tuesday,2014,caledon,caledon enterprise,caledon enterprise,12939.0,metroland media group ltd.
291,Thursday,2015,caledon,caledon enterprise,caledon enterprise,18629.0,metroland media group ltd.
298,Tuesday,2015,caledon,caledon enterprise,caledon enterprise,10526.0,metroland media group ltd.
292,Thursday,2016,caledon,caledon enterprise,caledon enterprise,18657.0,metroland media group ltd.
299,Tuesday,2016,caledon,caledon enterprise,caledon enterprise,10153.0,metroland media group ltd.
293,Thursday,2017,caledon,caledon enterprise,caledon enterprise,18360.0,metroland media group ltd.
300,Tuesday,2017,caledon,caledon enterprise,caledon enterprise,18360.0,metroland media group ltd.
294,Thursday,2018,caledon,caledon enterprise,caledon enterprise,19199.0,metroland media group ltd.
301,Tuesday,2018,caledon,caledon enterprise,caledon enterprise,19199.0,metroland media group ltd.
295,Thursday,2019,caledon,caledon enterprise,caledon enterprise,19290.0,metroland media group ltd.
1695,Friday,2013,caledonia,sachem extra haldimand county news,caledonia sachem extra haldimand county news,21022.0,ontario ltd.
1696,Friday,2014,caledonia,sachem extra haldimand county news,caledonia sachem extra haldimand county news,,ontario ltd.
1697,Friday,2015,caledonia,sachem extra haldimand county news,caledonia sachem extra haldimand county news,,ontario ltd.
1698,Friday,2016,caledonia,sachem extra haldimand county news,caledonia sachem extra haldimand county news,,ontario ltd.
