,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address
22,0,Tuesday,B,2013,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']"
23,22127,Thursday,T,2013,alliston,alliston herald,metroland media group ltd.,0,ON,22127,metroland media group ltd.,"['alliston ,ON, Canada']"
24,22266,Thursday,T,2014,alliston,alliston herald,metroland media group ltd.,0,ON,22266,metroland media group ltd.,"['alliston ,ON, Canada']"
25,0,Tuesday,B,2014,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']"
26,22403,Thursday,T,2015,alliston,alliston herald,metroland media group ltd.,0,ON,22403,metroland media group ltd.,"['alliston ,ON, Canada']"
27,0,Tuesday,B,2015,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']"
28,0,Tuesday,B,2016,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']"
29,22860,Thursday,T,2016,alliston,alliston herald,metroland media group ltd.,0,ON,22860,metroland media group ltd.,"['alliston ,ON, Canada']"
30,23199,Thursday,T,2017,alliston,alliston herald,metroland media group ltd.,0,ON,23199,metroland media group ltd.,"['alliston ,ON, Canada']"
31,23229,Thursday,T,2018,alliston,alliston herald,metroland media group ltd.,0,ON,23229,metroland media group ltd.,"['alliston ,ON, Canada']"
32,22879,Thursday,T,2019,alliston,alliston herald,metroland media group ltd.,0,ON,22879,metroland media group ltd.,"['alliston ,ON, Canada']"
33,86,Thursday,B,2014,burks%20falls,almaguin news,metroland media group ltd.,2497,ON,2583,metroland media group ltd.,"['burks falls ,ON, Canada']"
34,205,Thursday,B,2015,burks%20falls,almaguin news,metroland media group ltd.,2318,ON,2523,metroland media group ltd.,"['burks falls ,ON, Canada']"
35,150,Thursday,B,2016,burks%20falls,almaguin news,metroland media group ltd.,2230,ON,2380,metroland media group ltd.,"['burks falls ,ON, Canada']"
36,95,Thursday,B,2017,burks%20falls,almaguin news,metroland media group ltd.,2123,ON,2218,metroland media group ltd.,"['burks falls ,ON, Canada']"
37,131,Thursday,B,2018,burks%20falls,almaguin news,metroland media group ltd.,1839,ON,1970,metroland media group ltd.,"['burks falls ,ON, Canada']"
38,104,Thursday,B,2019,burks%20falls,almaguin news,metroland media group ltd.,1519,ON,1623,metroland media group ltd.,"['burks falls ,ON, Canada']"
39,8985,Wednesday,T,2013,amherstburg,amherstburg river town times,river town times,0,ON,8985,river town times,"['amherstburg ,ON, Canada']"
40,12823,Thursday,T,2013,ancaster,ancaster news,metroland media group ltd.,0,ON,12823,metroland media group ltd.,"['ancaster ,ON, Canada']"
41,12927,Thursday,T,2014,ancaster,ancaster news,metroland media group ltd.,0,ON,12927,metroland media group ltd.,"['ancaster ,ON, Canada']"
42,12725,Thursday,T,2015,ancaster,ancaster news,metroland media group ltd.,0,ON,12725,metroland media group ltd.,"['ancaster ,ON, Canada']"
43,12710,Thursday,T,2016,ancaster,ancaster news,metroland media group ltd.,0,ON,12710,metroland media group ltd.,"['ancaster ,ON, Canada']"
44,13041,Thursday,T,2017,ancaster,ancaster news,metroland media group ltd.,0,ON,13041,metroland media group ltd.,"['ancaster ,ON, Canada']"
45,13037,Thursday,T,2018,ancaster,ancaster news,metroland media group ltd.,0,ON,13037,metroland media group ltd.,"['ancaster ,ON, Canada']"
46,13111,Thursday,T,2019,ancaster,ancaster news,metroland media group ltd.,0,ON,13111,metroland media group ltd.,"['ancaster ,ON, Canada']"
47,33500,Thursday,T,2013,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,33500,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
48,25000,Thursday,T,2014,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
49,25000,Thursday,T,2015,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
50,25000,Thursday,T,2016,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
51,25000,Thursday,T,2017,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
52,25000,Thursday,T,2018,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
53,25000,Thursday,T,2019,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']"
54,7668,Thursday,T,2013,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7668,metroland media group ltd.,"['arnprior ,ON, Canada']"
55,7892,Thursday,T,2014,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7892,metroland media group ltd.,"['arnprior ,ON, Canada']"
56,7941,Thursday,T,2015,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7941,metroland media group ltd.,"['arnprior ,ON, Canada']"
57,8332,Thursday,T,2016,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,8332,metroland media group ltd.,"['arnprior ,ON, Canada']"
58,8114,Thursday,T,2017,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,8114,metroland media group ltd.,"['arnprior ,ON, Canada']"
59,8019,Thursday,T,2018,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,8019,metroland media group ltd.,"['arnprior ,ON, Canada']"
60,7085,Thursday,T,2019,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7085,metroland media group ltd.,"['arnprior ,ON, Canada']"
61,12,Wednesday,T,2013,arthur,arthur enterprise news,metroland media group ltd.,510,ON,522,metroland media group ltd.,"['arthur ,ON, Canada']"
62,0,Wednesday,T,2014,arthur,arthur enterprise news,metroland media group ltd.,420,ON,420,metroland media group ltd.,"['arthur ,ON, Canada']"
63,0,Wednesday,T,2015,arthur,arthur enterprise news,metroland media group ltd.,315,ON,315,metroland media group ltd.,"['arthur ,ON, Canada']"
64,0,Wednesday,T,2016,arthur,arthur enterprise news,metroland media group ltd.,235,ON,235,metroland media group ltd.,"['arthur ,ON, Canada']"
65,43,Monday,T,2013,atikokan,atikokan progress,atikokan printing (1994) ltd.,1263,ON,1306,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
66,40,Monday,T,2014,atikokan,atikokan progress,atikokan printing (1994) ltd.,1220,ON,1260,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
67,39,Monday,T,2015,atikokan,atikokan progress,atikokan printing (1994) ltd.,1154,ON,1193,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
68,38,Monday,T,2016,atikokan,atikokan progress,atikokan printing (1994) ltd.,1075,ON,1113,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
69,34,Monday,T,2017,atikokan,atikokan progress,atikokan printing (1994) ltd.,1047,ON,1081,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
70,34,Monday,T,2018,atikokan,atikokan progress,atikokan printing (1994) ltd.,1053,ON,1087,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
71,32,Monday,T,2019,atikokan,atikokan progress,atikokan printing (1994) ltd.,1012,ON,1044,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']"
72,7342,Thursday,T,2013,aurora,aurora king connection,metroland media group ltd.,0,ON,7342,metroland media group ltd.,"['aurora ,ON, Canada']"
73,14,Wednesday,B,2013,aylmer,aylmer express,aylmer express ltd.,3584,ON,3598,aylmer express ltd.,"['aylmer ,ON, Canada']"
74,30,Wednesday,B,2014,aylmer,aylmer express,aylmer express ltd.,3391,ON,3421,aylmer express ltd.,"['aylmer ,ON, Canada']"
75,30,Wednesday,B,2015,aylmer,aylmer express,aylmer express ltd.,3391,ON,3421,aylmer express ltd.,"['aylmer ,ON, Canada']"
76,12,Wednesday,B,2016,aylmer,aylmer express,aylmer express ltd.,3302,ON,3314,aylmer express ltd.,"['aylmer ,ON, Canada']"
77,14,Wednesday,B,2017,aylmer,aylmer express,aylmer express ltd.,3076,ON,3090,aylmer express ltd.,"['aylmer ,ON, Canada']"
78,13,Wednesday,B,2018,aylmer,aylmer express,aylmer express ltd.,3013,ON,3026,aylmer express ltd.,"['aylmer ,ON, Canada']"
79,13,Wednesday,B,2019,aylmer,aylmer express,aylmer express ltd.,2929,ON,2942,aylmer express ltd.,"['aylmer ,ON, Canada']"
80,0,Wednesday,B,2013,ayr,ayr news,ayr news ltd.,3204,ON,3204,ayr news ltd.,"['ayr ,ON, Canada']"
81,0,Wednesday,B,2014,ayr,ayr news,ayr news ltd.,3150,ON,3150,ayr news ltd.,"['ayr ,ON, Canada']"
82,0,Wednesday,B,2015,ayr,ayr news,ayr news ltd.,3082,ON,3082,ayr news ltd.,"['ayr ,ON, Canada']"
83,0,Wednesday,B,2016,ayr,ayr news,ayr news ltd.,3052,ON,3052,ayr news ltd.,"['ayr ,ON, Canada']"
84,0,Wednesday,B,2017,ayr,ayr news,ayr news ltd.,2939,ON,2939,ayr news ltd.,"['ayr ,ON, Canada']"
85,0,Wednesday,B,2018,ayr,ayr news,ayr news ltd.,2785,ON,2785,ayr news ltd.,"['ayr ,ON, Canada']"
86,0,Wednesday,B,2019,ayr,ayr news,ayr news ltd.,2603,ON,2603,ayr news ltd.,"['ayr ,ON, Canada']"
87,7850,Friday,T,2013,bancroft,bancroft this week,sun media corporation,0,ON,7850,sun media corporation,"['bancroft ,ON, Canada']"
88,7871,Friday,T,2014,bancroft,bancroft this week,maple key media,0,ON,7871,sun media corporation,"['bancroft ,ON, Canada']"
89,9338,Friday,T,2015,bancroft,bancroft this week,maple key media,0,ON,9338,maple key media,"['bancroft ,ON, Canada']"
90,9176,Friday,T,2016,bancroft,bancroft this week,maple key media,0,ON,9176,maple key media,"['bancroft ,ON, Canada']"
91,8962,Friday,T,2017,bancroft,bancroft this week,white pine media corp.,0,ON,8962,maple key media,"['bancroft ,ON, Canada']"
92,8962,Friday,T,2018,bancroft,bancroft this week,white pine media corp.,0,ON,8962,white pine media corp.,"['bancroft ,ON, Canada']"
93,8962,Friday,T,2019,bancroft,bancroft this week,white pine media corp.,0,ON,8962,white pine media corp.,"['bancroft ,ON, Canada']"
94,0,Thursday,B,2013,bancroft,bancroft times,bancroft times,3840,ON,3840,bancroft times,"['bancroft ,ON, Canada']"
95,15946,Thursday,B,2016,aurora,banner,metroland media group ltd.,0,ON,15946,metroland media group ltd.,"['aurora ,ON, Canada']"
96,58366,Sunday,T,2016,aurora,banner,metroland media group ltd.,0,ON,58366,metroland media group ltd.,"['aurora ,ON, Canada']"
97,17138,Friday,T,2013,barrhaven,barrhaven independent,the morris group,0,ON,17138,the morris group,"['barrhaven ,ON, Canada']"
98,8708,Friday,T,2019,barrhaven,barrhaven independent,the morris group,0,ON,8708,the morris group,"['barrhaven ,ON, Canada']"
99,52243,Tuesday,B,2013,barrie,barrie advance,metroland media group ltd.,0,ON,52243,metroland media group ltd.,"['barrie ,ON, Canada']"
100,52243,Thursday,T,2013,barrie,barrie advance,metroland media group ltd.,0,ON,52243,metroland media group ltd.,"['barrie ,ON, Canada']"
101,52434,Thursday,T,2014,barrie,barrie advance,metroland media group ltd.,0,ON,52434,metroland media group ltd.,"['barrie ,ON, Canada']"
102,52317,Thursday,T,2015,barrie,barrie advance,metroland media group ltd.,0,ON,52317,metroland media group ltd.,"['barrie ,ON, Canada']"
103,52759,Thursday,T,2016,barrie,barrie advance,metroland media group ltd.,0,ON,52759,metroland media group ltd.,"['barrie ,ON, Canada']"
104,52713,Thursday,T,2017,barrie,barrie advance,metroland media group ltd.,0,ON,52713,metroland media group ltd.,"['barrie ,ON, Canada']"
105,52226,Thursday,T,2018,barrie,barrie advance,metroland media group ltd.,0,ON,52226,metroland media group ltd.,"['barrie ,ON, Canada']"
106,51125,Thursday,T,2019,barrie,barrie advance,metroland media group ltd.,0,ON,51125,metroland media group ltd.,"['barrie ,ON, Canada']"
107,0,Wednesday,T,2013,barry's%20bay,barrys bay this week,sun media corporation,1292,ON,1292,sun media corporation,"[""barry's bay ,ON, Canada""]"
108,24453,Monthly,T,2013,toronto,bayview post,post city magazines,0,ON,24453,post city magazines,"['toronto ,ON, Canada']"
109,24474,Monthly,T,2014,toronto,bayview post,post city magazines,0,ON,24474,post city magazines,"['toronto ,ON, Canada']"
110,24499,Monthly,T,2015,toronto,bayview post,post city magazines,0,ON,24499,post city magazines,"['toronto ,ON, Canada']"
111,24499,Monthly,T,2016,toronto,bayview post,post city magazines,0,ON,24499,post city magazines,"['toronto ,ON, Canada']"
112,24499,Monthly,T,2017,toronto,bayview post,post city magazines,0,ON,24499,post city magazines,"['toronto ,ON, Canada']"
113,24499,12-times per year,T,2018,toronto,bayview post,post city magazines,0,ON,24499,post city magazines,"['toronto ,ON, Canada']"
114,23591,12-times per year,T,2019,toronto,bayview post,post city magazines,0,ON,23591,post city magazines,"['toronto ,ON, Canada']"
115,45683,Thursday,T,2019,east%20york,beach  east york neighbourhood voice,metroland media group ltd.,0,ON,45683,metroland media group ltd.,"['east york ,ON, Canada']"
116,29980,Tuesday,T,2013,toronto,beach metro community news,ward 9 community news inc.,20,ON,30000,ward 9 community news inc.,"['toronto ,ON, Canada']"
117,28480,Tuesday,T,2014,toronto,beach metro community news,ward 9 community news inc.,20,ON,28500,ward 9 community news inc.,"['toronto ,ON, Canada']"
118,29480,Tuesday,T,2015,toronto,beach metro community news,ward 9 community news inc.,20,ON,29500,ward 9 community news inc.,"['toronto ,ON, Canada']"
119,29480,Tuesday,T,2016,toronto,beach metro community news,ward 9 community news inc.,20,ON,29500,ward 9 community news inc.,"['toronto ,ON, Canada']"
120,29480,Tuesday,T,2017,toronto,beach metro community news,ward 9 community news inc.,20,ON,29500,ward 9 community news inc.,"['toronto ,ON, Canada']"
121,29480,Tuesday,T,2018,toronto,beach metro community news,ward 9 community news inc.,20,ON,29500,ward 9 community news inc.,"['toronto ,ON, Canada']"
122,29480,Tuesday,T,2019,toronto,beach metro community news,ward 9 community news inc.,20,ON,29500,ward 9 community news inc.,"['toronto ,ON, Canada']"
123,21529,Thursday,T,2013,toronto,beachriverdale mirror,metroland media group ltd.,0,ON,21529,metroland media group ltd.,"['toronto ,ON, Canada']"
124,21585,Thursday,T,2014,toronto,beachriverdale mirror,metroland media group ltd.,0,ON,21585,metroland media group ltd.,"['toronto ,ON, Canada']"
125,23236,Thursday,T,2015,toronto,beachriverdale mirror,metroland media group ltd.,0,ON,23236,metroland media group ltd.,"['toronto ,ON, Canada']"
126,22249,Thursday,T,2016,toronto,beachriverdale mirror,metroland media group ltd.,0,ON,22249,metroland media group ltd.,"['toronto ,ON, Canada']"
127,22249,Thursday,T,2017,toronto,beachriverdale mirror,metroland media group ltd.,0,ON,22249,metroland media group ltd.,"['toronto ,ON, Canada']"
128,7695,Friday,T,2014,parry%20sound,beacon star,metroland media group ltd.,11,ON,7706,metroland media group ltd.,"['parry sound ,ON, Canada']"
129,7597,Friday,T,2015,parry%20sound,beacon star,metroland media group ltd.,7,ON,7604,metroland media group ltd.,"['parry sound ,ON, Canada']"
130,7433,Friday,T,2016,parry%20sound,beacon star,metroland media group ltd.,0,ON,7433,metroland media group ltd.,"['parry sound ,ON, Canada']"
131,7328,Friday,T,2017,parry%20sound,beacon star,metroland media group ltd.,0,ON,7328,metroland media group ltd.,"['parry sound ,ON, Canada']"
132,52064,Friday,T,2014,oakville,beaver,metroland media group ltd.,0,ON,52064,metroland media group ltd.,"['oakville ,ON, Canada']"
133,52059,Wednesday,B,2014,oakville,beaver,metroland media group ltd.,0,ON,52059,metroland media group ltd.,"['oakville ,ON, Canada']"
134,52082,Thursday,T,2014,oakville,beaver,metroland media group ltd.,0,ON,52082,metroland media group ltd.,"['oakville ,ON, Canada']"
135,51646,Friday,T,2015,oakville,beaver,metroland media group ltd.,118,ON,51764,metroland media group ltd.,"['oakville ,ON, Canada']"
136,51662,Thursday,T,2015,oakville,beaver,metroland media group ltd.,135,ON,51797,metroland media group ltd.,"['oakville ,ON, Canada']"
137,43980,Wednesday,B,2015,oakville,beaver,metroland media group ltd.,111,ON,44091,metroland media group ltd.,"['oakville ,ON, Canada']"
138,43980,Wednesday,B,2016,oakville,beaver,metroland media group ltd.,111,ON,44091,metroland media group ltd.,"['oakville ,ON, Canada']"
139,51663,Friday,T,2016,oakville,beaver,metroland media group ltd.,124,ON,51787,metroland media group ltd.,"['oakville ,ON, Canada']"
140,51663,Thursday,T,2016,oakville,beaver,metroland media group ltd.,124,ON,51787,metroland media group ltd.,"['oakville ,ON, Canada']"
141,51663,Friday,T,2017,oakville,beaver,metroland media group ltd.,124,ON,51787,metroland media group ltd.,"['oakville ,ON, Canada']"
142,43980,Wednesday,B,2017,oakville,beaver,metroland media group ltd.,111,ON,44091,metroland media group ltd.,"['oakville ,ON, Canada']"
143,51663,Thursday,T,2017,oakville,beaver,metroland media group ltd.,124,ON,51787,metroland media group ltd.,"['oakville ,ON, Canada']"
144,24279,Thursday,T,2013,belleville,belleville news,metroland media group ltd.,0,ON,24279,metroland media group ltd.,"['belleville ,ON, Canada']"
145,22354,Thursday,T,2014,belleville,belleville news,metroland media group ltd.,0,ON,22354,metroland media group ltd.,"['belleville ,ON, Canada']"
146,22872,Thursday,T,2015,belleville,belleville news,metroland media group ltd.,0,ON,22872,metroland media group ltd.,"['belleville ,ON, Canada']"
147,22628,Thursday,T,2016,belleville,belleville news,metroland media group ltd.,0,ON,22628,metroland media group ltd.,"['belleville ,ON, Canada']"
148,22513,Thursday,T,2017,belleville,belleville news,metroland media group ltd.,0,ON,22513,metroland media group ltd.,"['belleville ,ON, Canada']"
149,46122,Thursday,T,2013,belleville&quinte,belleville/quinte region the community press,sun media corporation,0,ON,46122,sun media corporation,"['belleville ,ON, Canada', 'quinte ,ON, Canada']"
150,7482,Tuesday,T,2014,mount%20forest,bizbull,john benns and campbell clark,0,ON,7482,john benns and campbell clark,"['mount forest ,ON, Canada']"
151,7482,Tuesday,T,2015,mount%20forest,bizbull,john benns and campbell clark,0,ON,7482,john benns and campbell clark,"['mount forest ,ON, Canada']"
152,7482,Tuesday,T,2016,mount%20forest,bizbull,john benns and campbell clark,0,ON,7482,john benns and campbell clark,"['mount forest ,ON, Canada']"
153,7482,Tuesday,T,2017,mount%20forest,bizbull,john benns and campbell clark,0,ON,7482,john benns and campbell clark,"['mount forest ,ON, Canada']"
154,7482,Tuesday,T,2018,mount%20forest,bizbull,john benns and campbell clark,0,ON,7482,john benns and campbell clark,"['mount forest ,ON, Canada']"
155,7482,Tuesday,T,2019,mount%20forest,bizbull,john benns and campbell clark,0,ON,7482,john benns and campbell clark,"['mount forest ,ON, Canada']"
156,59,Wednesday,T,2013,blenheim,blenheim newstribune,blenheim publishers,2232,ON,2291,blenheim publishers,"['blenheim ,ON, Canada']"
157,33254,Thursday,T,2013,toronto,bloor west villager,metroland media group ltd.,0,ON,33254,metroland media group ltd.,"['toronto ,ON, Canada']"
158,34162,Thursday,T,2014,toronto,bloor west villager,metroland media group ltd.,0,ON,34162,metroland media group ltd.,"['toronto ,ON, Canada']"
159,35523,Thursday,T,2015,toronto,bloor west villager,metroland media group ltd.,0,ON,35523,metroland media group ltd.,"['toronto ,ON, Canada']"
160,34154,Thursday,T,2016,toronto,bloor west villager,metroland media group ltd.,0,ON,34154,metroland media group ltd.,"['toronto ,ON, Canada']"
161,40630,Thursday,T,2017,toronto,bloor westparkdale villager,metroland media group ltd.,0,ON,40630,metroland media group ltd.,"['toronto ,ON, Canada']"
162,40630,Thursday,T,2018,toronto,bloor westparkdale villager,metroland media group ltd.,0,ON,40630,metroland media group ltd.,"['toronto ,ON, Canada']"
163,39861,Thursday,T,2019,toronto,bloor westparkdale villager,metroland media group ltd.,0,ON,39861,metroland media group ltd.,"['toronto ,ON, Canada']"
164,0,Wednesday,B,2013,blue%20mountains,blue mountains courierherald,metroland media group ltd.,547,ON,547,metroland media group ltd.,"['blue mountains ,ON, Canada']"
165,28,Thursday,T,2013,blyth&brussels,blyth/brussels citizen,north huron publishing co. inc.,1792,ON,1820,north huron publishing co. inc.,"['blyth ,ON, Canada', 'brussels ,ON, Canada']"
166,214,Wednesday,B,2013,bracebridge,bracebridge examiner,metroland media group ltd.,2566,ON,2780,metroland media group ltd.,"['bracebridge ,ON, Canada']"
167,8881,Wednesday,B,2014,bracebridge,bracebridge examiner,metroland media group ltd.,554,ON,9435,metroland media group ltd.,"['bracebridge ,ON, Canada']"
168,8502,Thursday,B,2015,bracebridge,bracebridge examiner,metroland media group ltd.,107,ON,8609,metroland media group ltd.,"['bracebridge ,ON, Canada']"
169,8493,Thursday,B,2016,bracebridge,bracebridge examiner,metroland media group ltd.,91,ON,8584,metroland media group ltd.,"['bracebridge ,ON, Canada']"
170,8603,Thursday,B,2017,bracebridge,bracebridge examiner,metroland media group ltd.,74,ON,8677,metroland media group ltd.,"['bracebridge ,ON, Canada']"
171,8253,Thursday,B,2018,bracebridge,bracebridge examiner,metroland media group ltd.,70,ON,8323,metroland media group ltd.,"['bracebridge ,ON, Canada']"
172,7951,Thursday,B,2019,bracebridge,bracebridge examiner,metroland media group ltd.,46,ON,7997,metroland media group ltd.,"['bracebridge ,ON, Canada']"
173,10538,Thursday,T,2016,bradford,bradford topic,metroland media group ltd.,0,ON,10538,metroland media group ltd.,"['bradford ,ON, Canada']"
174,13042,Thursday,T,2013,bradford,bradford west gwillimbury times,sun media corporation,0,ON,13042,sun media corporation,"['bradford ,ON, Canada']"
175,9507,Thursday,T,2014,bradford,bradford west gwillimbury times,sun media corporation,0,ON,9507,sun media corporation,"['bradford ,ON, Canada']"
176,10224,Thursday,T,2015,bradford,bradford west gwillimbury times,sun media corporation,0,ON,10224,sun media corporation,"['bradford ,ON, Canada']"
177,10224,Thursday,T,2016,bradford,bradford west gwillimbury times,sun media corporation,0,ON,10224,postmedia network inc.,"['bradford ,ON, Canada']"
178,10224,Thursday,T,2017,bradford,bradford west gwillimbury times,postmedia network inc.,0,ON,10224,postmedia network inc.,"['bradford ,ON, Canada']"
179,17967,Thursday,T,2013,bradford%20west%20gwillimbury,bradford west gwillimbury topic,metroland media group ltd.,0,ON,17967,metroland media group ltd.,"['bradford west gwillimbury ,ON, Canada']"
180,10083,Thursday,T,2014,bradford%20west%20gwillimbury,bradford west gwillimbury topic,metroland media group ltd.,0,ON,10083,metroland media group ltd.,"['bradford west gwillimbury ,ON, Canada']"
181,10151,Thursday,T,2015,bradford%20west%20gwillimbury,bradford west gwillimbury topic,metroland media group ltd.,0,ON,10151,metroland media group ltd.,"['bradford west gwillimbury ,ON, Canada']"
182,10538,Thursday,T,2018,bradford%20west%20gwillimbury,bradford west gwillimbury topic,metroland media group ltd.,0,ON,10538,metroland media group ltd.,"['bradford west gwillimbury ,ON, Canada']"
183,10436,Thursday,T,2019,bradford%20west%20gwillimbury,bradford west gwillimbury topic,metroland media group ltd.,0,ON,10436,metroland media group ltd.,"['bradford west gwillimbury ,ON, Canada']"
184,10538,Thursday,T,2017,bradford%20west%20gwillimbury,bradford west gwillimburytopic,metroland media group ltd.,0,ON,10538,metroland media group ltd.,"['bradford west gwillimbury ,ON, Canada']"
185,112957,Wednesday,T,2013,brampton,brampton guardian,metroland media group ltd.,215,ON,113172,metroland media group ltd.,"['brampton ,ON, Canada']"
186,121850,Thursday,T,2013,brampton,brampton guardian,metroland media group ltd.,0,ON,121850,metroland media group ltd.,"['brampton ,ON, Canada']"
187,111834,Friday,T,2013,brampton,brampton guardian,metroland media group ltd.,122,ON,111956,metroland media group ltd.,"['brampton ,ON, Canada']"
188,126416,Thursday,T,2014,brampton,brampton guardian,metroland media group ltd.,4,ON,126420,metroland media group ltd.,"['brampton ,ON, Canada']"
189,114071,Wednesday,T,2014,brampton,brampton guardian,metroland media group ltd.,104,ON,114175,metroland media group ltd.,"['brampton ,ON, Canada']"
190,111687,Friday,T,2014,brampton,brampton guardian,metroland media group ltd.,59,ON,111746,metroland media group ltd.,"['brampton ,ON, Canada']"
