,Element,ID2,Owner,MarketAndNewspaper,Year,Swap2017Affected,Swap2017
52,Ottawa,245,metroland media group ltd.,orleans news,2017-01-01,1.0,1.0
53,Ottawa,256,metroland media group ltd.,ottawa east news,2017-01-01,1.0,1.0
54,Ottawa,260,metroland media group ltd.,ottawa south news,2017-01-01,1.0,1.0
55,Ottawa,261,metroland media group ltd.,ottawa west news,2017-01-01,1.0,1.0
56,Ottawa,370,metroland media group ltd.,stittsville news,2017-01-01,1.0,1.0
57,Ottawa,480,metroland media group ltd.,west carleton review,2017-01-01,1.0,1.0
2,Pelham,107,postmedia network inc.,fonthill pelham news,2017-01-01,1.0,1.0
3,Pelham,227,metroland media group ltd.,niagara this week,2017-01-01,1.0,0.0
4,Pelham,227,metroland media group ltd.,niagara this week,2017-01-01,1.0,0.0
6,Peterborough,5,postmedia network inc.,Peterborough Examiner,2017-01-01,1.0,1.0
7,Peterborough,274,metroland media group ltd.,peterborough this week,2017-01-01,1.0,0.0
8,Peterborough,274,metroland media group ltd.,peterborough this week,2017-01-01,1.0,0.0
43,Port Colborne,147,postmedia network inc.,in port news,2017-01-01,1.0,1.0
44,Port Colborne,147,postmedia network inc.,in port news,2017-01-01,1.0,1.0
45,Port Colborne,279,metroland media group ltd.,"port colborne niagara this week, the leader",2017-01-01,1.0,0.0
30,Quinte West,289,metroland media group ltd.,quinte west news,2017-01-01,1.0,1.0
31,Quinte West,464,postmedia network inc.,trenton trentonian,2017-01-01,1.0,0.0
48,South Frontenac,113,metroland media group ltd.,frontenac gazette,2017-01-01,1.0,1.0
49,South Frontenac,170,postmedia network inc.,kingston frontenac this week,2017-01-01,1.0,0.0
32,South Huron,102,metroland media group ltd.,exeter times advocate,2017-01-01,1.0,1.0
33,South Huron,103,metroland media group ltd.,exeter times advocate weekender,2017-01-01,1.0,1.0
34,South Huron,103,metroland media group ltd.,exeter times advocate weekender,2017-01-01,1.0,1.0
27,Southwold,366,metroland media group ltd.,st. thomas elgin weekly news,2017-01-01,1.0,1.0
35,St. Catharines,6,postmedia network inc.,St. Catharines Standard,2017-01-01,1.0,1.0
36,St. Marys,364,metroland media group ltd.,st. marys journal argus,2017-01-01,1.0,1.0
37,St. Marys,365,metroland media group ltd.,st. marys journal argus weekender,2017-01-01,1.0,1.0
38,St. Thomas,366,metroland media group ltd.,st. thomas elgin weekly news,2017-01-01,1.0,1.0
40,Stirling-Rawdon,367,metroland media group ltd.,stirling campbellford central hastings trent hill news,2017-01-01,1.0,1.0
41,Stirling-Rawdon,368,metroland media group ltd.,stirling northeast central hastings news,2017-01-01,1.0,1.0
28,Stratford,373,metroland media group ltd.,stratford gazette,2017-01-01,1.0,1.0
29,Stratford,374,postmedia network inc.,stratford marketplace,2017-01-01,1.0,0.0
0,Thorold,399,postmedia network inc.,thorold niagara news,2017-01-01,1.0,1.0
19,Trent Hills,44,metroland media group ltd.,brighton independent,2017-01-01,1.0,0.0
20,Trent Hills,57,metroland media group ltd.,campbellford trent hills independent,2017-01-01,1.0,0.0
21,Trent Hills,367,metroland media group ltd.,stirling campbellford central hastings trent hill news,2017-01-01,1.0,1.0
1,Welland,7,postmedia network inc.,Welland Tribune,2017-01-01,1.0,1.0
