,Newspaper
120,ingersoll times
121,innisfil journal
122,innisfil scope
123,iroquois falls enterprise
124,kanata kourier standard
125,kapuskasing northern times
126,kapuskasing northern times weekender
127,kawartha lakes north durham caps community news
128,kawartha lakes this week
129,kemptville advance
130,kemptville north grenville times
131,kenora lake of the woods enterprise
132,kincardine independent
133,kincardine news
134,king connection
135,king weekly sentinel
136,kingston emc
137,kingston frontenac this week
138,kingston heritage
139,kingsville reporter
140,kirkland lake northern news
141,kirkland lake northern news this week
142,kitchener citizen
143,kitchener post
144,lakefield herald
145,lanark era
146,lasalle post
147,leamington southpoint sun
148,leamington wheatley kingsville southpoint sun
149,lindsay post
150,listowel banner
151,listowel independent plus
152,london community news
153,london our london
154,london the londoner
155,lucknow sentinel
156,manitoulin expositor
157,manitoulin west recorder
158,manitouwadge echo
159,manotick messenger
160,manotick news
161,marathon mercury
162,markham economist sun
163,markham economist sun stouffville sun tribune
164,meaford express
165,meaford express blue mountains courier herald
166,meaford independent
167,middlesex banner
168,midland free press
169,midland penetanguishene mirror
170,mildmay town country crier
171,millbrook times
172,milton canadian champion
173,minden times
174,minto express
175,mississauga news
176,mississauga news apt condo malton edition
177,mississauga news full city edition
178,mitchell advocate
179,morrisburg leader
180,mount forest bizbull
181,mount forest confederate
182,muskoka district weekender
183,muskoka muskokaregion.com
184,muskoka what's up muskoka
185,napanee beaver
186,napanee guide
187,nepean barrhaven news
188,new hamburg independent
189,new liskeard temiskaming speaker
190,newmarket era aurora banner
191,newmarket era aurora banner east gwillimbury express
192,newmarket era aurora banner georgina advocate
193,niagara advance
194,niagara this week
195,nipigon red rock gazette
196,norfolk news
197,north bay nipissing news
198,north york mirror
199,northumberland news
200,northumberland today.com
201,norwich gazette
202,nunavut news north
203,nwt news north
204,nwt nunavut news north
205,oakville beaver
206,oakville north oakville today
207,ohsweken turtle island news
208,orangeville banner
209,orangeville citizen
210,orillia today
211,orleans news
212,orleans star
213,orono weekly times
214,oshawa express
215,oshawa whitby clarington this week
216,oshawa whitby clarington this week port perry star
217,oshawa whitby this week
218,ottawa community voice kanata stittsville
219,ottawa community voice south
220,ottawa east news
221,ottawa embassy
222,ottawa hill times
223,ottawa south news
224,ottawa west news
225,paris star
226,parkhill gazette
227,parkhill glencoe gazette transcript free press
228,parry sound beacon star
229,parry sound north star
230,pelham news
231,pelham voice of pelham
232,perth courier
233,peterborough this week
234,petrolia lambton independent
235,petrolia topic
236,picton county weekly news
237,picton gazette
238,port colborne inport news
239,port dover maple leaf
240,port elgin shoreline beacon
241,port perry star
242,port perry uxbridge the standard
243,port stanley the lake erie beacon
244,prescott journal
245,quinte west news
246,rainy river record
247,red lake northern sun news
248,renfrew mercury
249,richmond hill liberal
250,richmond hill thornhill liberal
251,ridgetown independent news
252,russell villager
253,sarnia journal
254,sarnia lambton county this week
255,sault ste. marie this week
256,scarborough mirror
257,seaforth huron expositor
258,shelburne free press
259,simcoe times reformer
260,sioux lookout bulletin
261,sioux lookout wawatay news
262,smiths falls record news
263,south bruce independent extra
264,south bruce weekender
265,st. lawrence news
266,st. marys independent
267,st. marys journal argus
268,st. marys journal argus weekender
269,st. thomas elgin weekly news
270,stirling central hastings news
271,stirling northeast emc
272,stittsville news
273,stoney creek news
274,stouffville sun tribune
275,stratford gazette
276,strathroy age dispatch
277,strathroy middlesex age dispatch
278,sturgeon falls west nipissing tribune
279,sudbury northern life
280,tavistock gazette
281,tecumseh shoreline week
282,terrace bay schreiber news
283,thamesville herald
284,thessalon north shore sentinel
285,thorold niagara news
286,thunder bay source
287,tilbury times
288,tilbury wheatley this week
289,tillsonburg independent news
290,tillsonburg news
291,timmins times
292,toronto aaj kaal
293,toronto bloor west parkdale liberty villager
294,toronto bloor west parkdale neighbourhood voice
295,toronto bloor west parkdale villager
296,toronto bloor west villager
297,toronto can india news
298,toronto caribbean
299,toronto city centre mirror
300,toronto city centre york neighbourhood voice
301,toronto community news
302,toronto correio da manha
303,toronto correo canadiense
304,toronto diversity reporter
305,toronto downtown bulletin
306,toronto express l
307,toronto forest hill town crier
308,toronto ghanaian news
309,toronto kanadai amerikai magyarsag
310,toronto leaside rosedale town crier
311,toronto north toronto town crier
312,toronto nove ilhas
313,toronto now
314,toronto parkdale liberty villager
315,toronto russian express
316,toronto salam toronto
317,toronto sunday times
318,toronto thangatheepam
319,toronto thoi bao
320,toronto today
321,toronto urdu khabarnama
322,toronto weekly punjabi awaaz
323,toronto weekly voice
324,toronto zwiazkowiec
325,trenton trentonian
326,tweed news
327,uxbridge cosmos
328,uxbridge times journal
329,vankleek hill review
330,vaughan citizen
331,vaughan today
332,vaughan weekly
333,walkerton herald times
334,wallaceburg courier press
335,wasaga stayner sun
336,waterdown flamborough review
337,waterloo chronicle
338,watford guide advocate
339,wawa algoma news review
340,wellington times
341,west carleton review
342,west lorne west elgin chronicle
343,westport review mirror
344,wheatley journal
345,wiarton echo
346,winchester press
347,wingham advance times
348,york guardian
