,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population percentage change, 2011 to 2016",Age & Sex / Both sexes / Average age of the pnpulation ; Both sexes,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",NofID2,MeanMarketRate
769,eganville leader,5466.0,0.97,176.0,412.0,8.0,294.0,7.0,2013-01-01,2012.0,1.0,Wednesday,5466.0,0.97,176.0,412.0,eganville leader,both,,[nan],,Wednesday,0.0,B,eganville,eganville leader,eganville leader publishing ltd.,5453.0,ON,5453.0,eganville leader publishing ltd.,"['eganville ,ON, Canada']","[(45.5406943, -77.1004317)]",leader,,,,,0.0,eganville,0.0,0.0,0,Bonnechere Valley,2013.0,0.0,0.0,5453.0,5453.0,Wednesday,perfect_match,118,88,1,1,1,1,1,1,0,1,1,1,1,['Renfrew'],0,0,0,2422,3547035,35,ON,47,Renfrew,35,Bonnechere Valley,8.209308411646937,,3.883623530906448,10.20942694125874,5.4638318050256105,1,0.97
281,bracebridge dxaminer,2708.0,1.32,335.0,1160.0,10.0,301.0,10.0,2013-01-01,2012.0,1.0,Wednesday,2708.0,1.32,335.0,1160.0,bracebridge examiner,both,,[nan],,Wednesday,214.0,B,bracebridge,bracebridge examiner,metroland media group ltd.,2566.0,ON,2780.0,metroland media group ltd.,"['bracebridge ,ON, Canada']","[(45.041508, -79.310989)]",,,,,,0.0,bracebridge,0.0,0.0,0,Bracebridge,2013.0,0.0,214.0,2566.0,2780.0,Wednesday,perfect_match,46,36,1,1,1,1,0,1,1,1,1,1,0,['Muskoka'],0,1,1,2405,3544018,35,ON,44,Muskoka,18,Bracebridge,9.681031265002055,1.589235205116581,3.856510295497887,10.424481305217745,7.7475968386928855,4,1.97
303,brampton guardian,118875.0,5.66,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Friday,118265.33333333331,5.66,335.0,1160.0,brampton guardian,both,,[nan],,Friday,111834.0,T,brampton,brampton guardian,metroland media group ltd.,122.0,ON,111956.0,metroland media group ltd.,"['brampton ,ON, Canada']","[(43.685832, -79.7599366)]",,,,,,0.0,brampton,0.0,0.0,0,Brampton,2013.0,0.0,115547.0,112.33333333333331,115659.33333333331,Friday,perfect_match,50,40,1,1,1,1,1,1,1,0,1,1,1,['Peel'],0,1,1,2245,3521010,35,ON,21,Peel,10,Brampton,13.29402666948573,2.6602595372658615,3.624340932976365,10.278252874394655,11.645759114228454,1,5.66
374,,,,,,,,,2013-01-01,,,,,,,,burford times,,,[nan],,Wednesday,0.0,T,burford,burford times,burford times,2000.0,ON,2000.0,burford times,"['burford ,ON, Canada']","[(43.1032142, -80.4292701)]",burford times,,,,,0.0,burford,0.0,0.0,0,Brant,2013.0,0.0,0.0,2000.0,2000.0,Wednesday,right_only,59,47,1,0,1,0,1,1,0,0,0,0,1,['Brant'],0,0,0,2284,3529005,35,ON,29,Brant,5,Brant,10.510749993938903,1.3862943611198906,3.768152635008444,10.564937646352819,8.488999457045455,2,0.77
334,brighton independent,,1.72,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2009.0,4.0,Thursday,,1.72,335.0,1160.0,brighton independent,both,,[nan],,Thursday,16827.0,T,brighton&warkworth&campbellford,brighton independent,metroland media group ltd.,156.0,ON,16983.0,metroland media group ltd.,"['brighton ,ON, Canada', 'warkworth ,ON, Canada&, 'campbellford ,ON, Canada']","[(44.0422275, -77.7370071), (44.2019073, -77.8868553), (44.3085912, -77.798084)]",,,,,,0.0,brighton warkworth campbellford,0.0,0.0,0,Brighton,2013.0,0.0,16827.0,156.0,16983.0,Thursday,perfect_match,56,44,1,1,1,1,1,1,1,0,1,1,1,"['Northumberland', 'Northumberland']",0,1,1,2204,3514004,35,ON,14,Northumberland,4,Brighton,9.379661116592885,2.2407096892759584,3.8958936234982624,10.41643093227312,7.234177179749849,1,1.72
362,brock citizen,,1.58,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2011.0,2.0,Thursday,,1.58,335.0,1160.0,brock citizen,both,,[nan],,Thursday,5497.0,T,brock,brock citizen,metroland media group ltd.,0.0,ON,5497.0,metroland media group ltd.,"['brock ,ON, Canada']","[(44.347685049999995, -79.10016490761303)]",,,,,,0.0,brock,0.0,0.0,0,Brock,2013.0,0.0,5497.0,0.0,5497.0,Thursday,perfect_match,57,45,0,1,0,1,1,1,0,0,1,0,1,['Division No. 13'],0,1,1,2232,3518039,35,ON,18,Durham,39,Brock,9.362460420037015,1.308332819650179,3.7954891891721947,10.436025743207768,7.026426808699636,0,1.58
3470,walkerton herald times,1795.0,0.86,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Wednesday,1795.0,0.86,335.0,1160.0,walkerton herald times,both,,[nan],,Wednesday,3.0,T,walkerton,herald times,metroland media group ltd.,1748.0,ON,1751.0,metroland media group ltd.,"['walkerton ,ON, Canada']","[(44.1331908, -81.1485894)]",herald times,,,,,0.0,walkerton,0.0,0.0,0,Brockton,2013.0,0.0,3.0,1748.0,1751.0,Wednesday,perfect_match,601,469,1,1,1,1,0,1,0,1,1,0,0,['Bruce'],0,1,1,2366,3541032,35,ON,41,Bruce,32,Brockton,9.155039056191093,0.26236426446749106,3.7909846770510898,10.434909606100769,6.80903930604298,1,0.86
381,burks falls almaguin news,2643.0,0.83,335.0,1160.0,10.0,301.0,10.0,2013-01-01,2012.0,1.0,Thursday,2643.0,0.83,335.0,1160.0,burks falls almaguin news,both,,[nan],,Thursday,86.0,B,burks%20falls,almaguin news,metroland media group ltd.,2681.0,ON,2767.0,metroland media group ltd.,"['burks falls ,ON, Canada']","[(45.619853, -79.4118686)]",almaguin news,,,,,0.0,burks falls,0.0,0.0,0,Burk's Falls,2013.0,0.0,86.0,2681.0,2767.0,Thursday,perfect_match,60,48,1,1,1,1,1,1,1,1,1,1,1,['Parry Sound'],0,1,1,2456,3549022,35,ON,49,Parry Sound,22,Burk's Falls,6.889591308354466,0.8754687373538999,3.784189633918261,10.052640047938569,4.02535169073515,1,0.83
388,burlington de nederlandse courant,,1.31,235.0,235.0,5.0,224.0,4,2014-01-01,0.0,2014.0,Monthly,,1.31,235.0,235.0,burlington de nederlandse courant,left_only,,['Burlington'],,Monthly,,,,,,,,,,,,,,,,,0.0,,,,0,Burlington,,,,,,,left_only,61,49,0,0,0,0,0,0,0,0,0,0,0,['Halton'],0,0,0,2264,3524002,35,ON,24,Halton,2,Burlington,12.11896126354021,1.667706820558076,3.768152635008444,10.658482136422153,10.738372982159593,4,3.1199999999999997
451,caledon citizen,,0.8,59.0,235.0,8.0,276.0,6.0,2013-01-01,2011.0,2.0,Thursday,,0.8,59.0,235.0,caledon citizen,both,,[nan],,Thursday,14941.0,T,caledon,caledon citizen,london publishing corporation,285.0,ON,15226.0,london publishing corporation,"['caledon ,ON, Canada']","[(43.827060149999994, -79.9061036956765)]",,,,,,0.0,caledon,0.0,0.0,0,Caledon,2013.0,0.0,14941.0,285.0,15226.0,Thursday,perfect_match,67,52,1,1,1,1,1,1,0,0,1,0,1,['Peel'],0,0,0,2246,3521024,35,ON,21,Peel,24,Caledon,11.10500233840835,2.5494451709255714,3.6913763343125234,10.632894335716385,9.382695764458287,2,1.315
477,cambridge times,43059.0,1.84,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Friday,44754.333333333336,1.84,335.0,1160.0,cambridge times,both,,[nan],,Friday,42992.0,T,cambridge,cambridge times,metroland media group ltd.,0.0,ON,42992.0,metroland media group ltd.,"['cambridge ,ON, Canada']","[(43.3600536, -80.3123023)]",,,,,,0.0,cambridge,0.0,0.0,0,Cambridge,2013.0,0.0,44763.333333333336,0.0,44763.333333333336,Friday,perfect_match,71,55,0,1,0,1,0,1,1,0,1,1,0,['Waterloo'],0,1,1,2289,3530010,35,ON,30,Waterloo,10,Cambridge,11.774681852410218,1.252762968495368,3.7013019741124933,10.470078954207976,9.666245076842417,1,1.84
502,carleton place almonte canadian gazette,12509.0,0.87,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,12509.0,0.87,335.0,1060.0,carleton placealmonte canadian gazette,both,,[nan],,Thursday,12812.0,T,almonte&carleton%20place,carleton placealmonte canadian gazette,metroland media group ltd.,0.0,ON,12812.0,metroland media group ltd.,"['almonte ,ON, Canada', 'carleton place ,ON, Canada']","[(45.226049, -76.1945277), (45.1403366, -76.1465672)]",,,,,,0.0,almonte carleton place,0.0,0.0,0,Carleton Place,2013.0,0.0,12812.0,0.0,12812.0,Thursday,perfect_match,76,58,0,1,0,1,1,1,1,0,1,1,1,"['Lanark', 'Lanark']",0,1,1,2174,3509028,35,ON,9,Lanark,28,Carleton Place,9.27284557732758,2.2512917986064953,3.754198920234579,10.505012743548761,7.16703787691222,1,0.87
1702,millbrook times,1182.0,0.88,141.0,376.0,5.0,215.0,4.0,2013-01-01,2012.0,1.0,Thursday,1182.0,0.88,141.0,376.0,millbrook times,both,,[nan],,Thursday,431.0,T,millbrook,millbrook times,millbrook times,752.0,ON,1183.0,millbrook times,"['millbrook ,ON, Canada']","[(44.1511443, -78.4475977)]",millbrook times,,,,,0.0,millbrook,0.0,0.0,0,Cavan Monaghan,2013.0,0.0,431.0,752.0,1183.0,Thursday,perfect_match,270,201,1,1,1,1,1,1,0,0,1,0,1,['Peterborough'],0,0,0,2215,3515013,35,ON,15,Peterborough,13,Cavan Monaghan,9.085910293598007,1.308332819650179,3.7864597824528,10.558647259190574,7.095064377287131,1,0.88
2373,port stanley the lake erie beacon,7170.0,1.98,229.0,469.0,4.0,215.0,8.0,2013-01-01,2012.0,1.0,Friday,7170.0,1.98,229.0,469.0,port stanley lake erie beacon,both,,[nan],,Friday,7170.0,T,port%20stanley,lake erie beacon,andrew hibbert and ted halwa,0.0,ON,7170.0,andrew hibbert and ted halwa,"['port stanley ,ON, Canada']","[(42.6660437, -81.2121712)]",lake erie beacon,,,,,0.0,port stanley,0.0,0.0,0,Central Elgin,2013.0,0.0,7170.0,0.0,7170.0,Friday,perfect_match,383,283,0,1,0,1,0,0,0,0,0,0,0,['Elgin'],0,0,0,2312,3534020,35,ON,34,Elgin,20,Central Elgin,9.44208681209766,,3.7977338590260183,10.607426294174273,7.43307534889858,1,1.98
2506,frontenac news,8641.0,0.82,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,8919.5,0.85,220.5,697.5,sharbot lake the frontenac news,both,,[nan],,Thursday,9066.0,T,sharbot%20lake,the frontenac news,the frontenac news,0.0,ON,9166.0,the frontenac news,"['sharbot lake ,ON, Canada']","[(44.7706987, -76.6901144)]",,,,,,0.0,sharbot lake,0.0,0.0,0,Central Frontenac,2013.0,0.0,9166.0,0.0,9166.0,Thursday,perfect_match,407,302,0,1,0,1,1,1,0,0,1,0,1,['Frontenac'],0,0,0,2180,3510035,35,ON,10,Frontenac,35,Central Frontenac,8.383433201236713,,3.8897773964808264,10.232791299678729,6.246106765481563,1,0.85
583,clinton news record,1714.0,0.72,88.0,353.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Wednesday,1714.0,0.72,88.0,353.0,clinton news record,both,,[nan],,Wednesday,38.0,B,clinton,news record,sun media corporation,1548.0,ON,1586.0,sun media corporation,"['clinton ,ON, Canada']","[(43.617187, -81.539576)]",news record,,,,,0.0,clinton,0.0,0.0,0,Central Huron,2013.0,0.0,38.0,1548.0,1586.0,Wednesday,perfect_match,91,69,1,1,1,1,1,1,0,0,1,0,1,['Huron'],1,0,1,2356,3540025,35,ON,40,Huron,25,Central Huron,8.932872621931374,-0.10536051565782628,3.8110970868381857,10.43537971041382,6.673297967767654,1,0.72
1612,manitoulin expositor,5519.0,0.97,212.0,635.0,6.0,225.0,5.0,2013-01-01,2012.0,1.0,Wednesday,5519.0,0.97,212.0,635.0,manitoulin expositor,both,,[nan],,Wednesday,164.0,T,manitoulin%20island,manitoulin expositor,manitoulin publishing co. ltd.,5359.0,ON,5523.0,manitoulin publishing co. ltd.,"['manitoulin island ,ON, Canada']","[(45.756311499999995, -82.21460502374313)]",,,,,,0.0,manitoulin island,0.0,0.0,0,Central Manitoulin,2013.0,0.0,164.0,5359.0,5523.0,Wednesday,perfect_match,254,190,1,1,1,1,1,1,1,1,1,1,1,['Manitoulin'],0,0,0,2481,3551006,35,ON,51,Manitoulin,6,Central Manitoulin,7.642524134232902,2.0014800002101243,3.9569963710708773,10.298093917309416,5.802118375377063,1,0.97
890,fergus elora news express,8070.0,1.11,116.0,294.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Wednesday,8070.0,1.11,116.0,294.0,fergus elora news express,both,,[nan],,Wednesday,7850.0,T,fergus&elora,news express,metroland media group ltd.,322.0,ON,8172.0,metroland media group ltd.,"['fergus ,ON, Canada', 'elora ,ON, C`nada']","[(43.7059439, -80.3779366), (43.681148, -80.429581)]",news express,,,,,0.0,fergus elora,0.0,0.0,0,Centre Wellington,2013.0,0.0,7850.0,322.0,8172.0,Wednesday,perfect_match,140,102,1,1,1,1,0,0,0,0,0,0,0,['Wellington'],0,1,1,2259,3523025,35,ON,23,Wellington,25,Centre Wellington,10.246793528735907,1.8870696490323797,3.775057150354989,10.59573432785291,8.352554369474591,2,1.36
3433,vankleek hill review,3522.0,0.87,227.0,552.0,8.0,300.0,11.0,2013-01-01,2012.0,1.0,Wednesday,3522.0,0.87,227.0,552.0,vankleek hill hawkesbury the review,both,,[nan],,Wednesday,146.0,B,vankleek%20hill&hawkesbury,the review,ontario inc.,3412.0,ON,3558.0,ontario inc.,"['vankleek hill ,ON, Canada', 'hawkesbury ,ON, Canada']","[(45.5196086, -74.6519669), (45.610281, -74.6055611)]",,,,,,0.0,vankleek hill hawkesbury,0.0,0.0,0,Champlain,2013.0,0.0,146.0,3412.0,3558.0,Wednesday,perfect_match,592,463,1,1,1,1,1,1,1,1,1,1,1,"['Prescott and Russell', 'Prescott and Russell']",0,0,0,2148,3502010,35,ON,2,Prescott and Russell,10,Champlain,9.070882578828616,0.9555114450274363,3.858622228701031,10.476752620919227,7.00397413672268,1,0.87
543,,,,,,,,,2013-01-01,,,,,,,,chapleau express,,,[nan],,Sunday,1700.0,T,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']","[(47.845632, -83.4018741)]",express,,,,,0.0,chapleau,0.0,0.0,0,Chapleau,2013.0,0.0,1700.0,0.0,1700.0,Sunday,right_only,82,64,0,1,0,1,0,1,1,0,0,1,0,['Sudbury'],0,0,0,2510,3552092,35,ON,52,Sudbury,92,Chapleau,7.583247524303362,,3.8066624897703196,10.513714974009698,5.198497031265826,1,
257,blenheim news tribune,2271.0,0.52,94.0,153.0,6.0,224.0,5.0,2013-01-01,2012.0,1.0,Wednesday,2271.0,0.52,94.0,153.0,blenheim newstribune,both,,[nan],,Wednesday,59.0,T,blenheim,newstribune,blenheim publishers,2232.0,ON,2291.0,blenheim publishers,"['blenheim ,ON, Canada']","[(42.3354182, -81.9974055)]",newstribune,,,,,0.0,blenheim,0.0,0.0,0,Chatham-Kent,2013.0,0.0,59.0,2232.0,2291.0,Wednesday,perfect_match,41,32,1,1,1,1,1,1,0,1,1,0,1,['Chatham-Kent'],0,0,0,2317,3536020,35,ON,36,Chatham-Kent,20,Chatham-Kent,11.529271143506314,,3.7932394694381792,10.339287860440365,9.146974496354362,9,0.6833333333333333
2776,,,,,,,,,2015-01-01,,,,,,,,snap south simcoe,,,[nan],,Monthly,10000.0,T,south%20simcoe,snap south simcoe,snapd inc.,0.0,ON,10000.0,snapd inc.,"['south simcoe ,ON, Canada']","[(44.8944812, -80.1812131)]",,,,,,0.0,south simcoe,0.0,0.0,0,Christian Island 30,2015.0,0.0,10000.0,0.0,10000.0,Monthly,right_only,454,347,0,1,0,1,1,1,0,0,0,0,1,['Simcoe'],0,0,0,2399,3543069,35,ON,43,Simcoe,69,Christian Island 30,6.421622267806518,,3.5553480614894135,9.656115343487846,2.772588722239781,1,
566,,,,,,,,,2013-01-01,,,,,,,,clarence-rockland the musketeers journal,,,[nan],,Thursday,14000.0,T,clarence-rockland,the musketeers journal,musketeers journal,0.0,ON,14000.0,,"['clarence-rockland ,ON, Canada']","[(45.5247978, -75.2607533)]",,musketeers journal,,,,0.0,clarence-rockland,0.0,0.0,0,Clarence-Rockland,2013.0,0.0,14000.0,0.0,14000.0,Thursday,right_only,87,67,0,1,0,1,0,0,0,0,0,0,0,['Prercott and Russell'],0,0,0,2151,3502036,35,ON,2,Prescott and Russell,36,Clarence-Rockland,10.106958868052818,1.9021075263969205,3.728100167267218,10.676646671065457,7.914252278742441,2,
568,clarington this week,25731.0,2.96,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Thursday,25731.0,2.96,335.0,1160.0,clarington this week,both,,[nan],,Friday,19328.0,T,clarington,clarington this week,metroland media group ltd.,0.0,ON,19328.0,metroland media group ltd.,"['clarington ,ON, Canada']","[(43.96868585, -78.65135738273909)]",,,,,,0.0,clarington,0.0,0.0,0,Clarington,2013.0,0.0,23596.666666666668,0.0,23596.666666666668,Friday,right_imperfect_match,88,68,0,1,0,1,0,1,0,0,1,0,0,['Durham'],0,1,1,2228,3518017,35,ON,18,Durham,17,Clarington,11.429696018366945,2.2823823856765264,3.686376323895818,10.641153884700563,9.341017695617799,2,1.72
